#TYPE Selected.Microsoft.Management.Infrastructure.CimInstance
"HostName","TimeStamp","TimeToLive","RecordType","IP","CName"
"auz-acc-7-1",,"01:00:00","A","10.10.100.13",
"auz-acc-7-2",,"01:00:00","A","10.10.100.19",
"auz-vpnvoip-1",,"01:00:00","A","172.16.128.237",
"avag-acc-0",,"01:00:00","A","10.10.100.52",
"bard-acc-1",,"01:00:00","A","172.24.6.2",
"bard-acc-2",,"01:00:00","A","172.24.6.4",
"BB2048","26.2.2025 10:00:00","00:20:00","A","10.10.160.116",
"BB214C","05.3.2025 06:00:00","00:20:00","A","10.10.9.14",
"BB245C","04.3.2025 06:00:00","00:20:00","A","10.10.9.8",
"BB2C40","26.2.2025 10:00:00","00:20:00","A","10.10.9.19",
"BB2C72","26.2.2025 06:00:00","00:20:00","A","10.10.9.15",
"BB4C51","28.2.2025 22:00:00","00:20:00","A","10.10.9.5",
"BB4C86","03.3.2025 06:00:00","00:20:00","A","10.10.9.9",
"BB4C87","28.2.2025 20:00:00","00:20:00","A","10.10.9.10",
"bcld-acc-0",,"01:00:00","A","172.24.0.4",
"bgrso-acc-1",,"01:00:00","A","172.25.5.2",
"bkas-acc-0",,"01:00:00","A","172.24.0.7",
"bmag-acc-0",,"01:00:00","A","172.24.0.5",
"boa-mes-dev",,"01:00:00","A","10.10.144.11",
"boa-mes-prd",,"01:00:00","A","10.10.144.4",
"boa-mes-tst",,"01:00:00","A","10.10.144.8",
"bomi-acc-0",,"01:00:00","A","172.24.6.3",
"BP7221133","24.2.2025 13:00:00","00:20:00","A","10.10.9.193",
"bpro-acc-0",,"01:00:00","A","172.24.0.6",
"bpro-acc-0-10662",,"01:00:00","A","172.24.0.8",
"bqoc-acc-0",,"01:00:00","A","172.24.0.3",
"br-acc-0",,"01:00:00","A","172.24.3.2",
"braz-acc-0",,"01:00:00","A","172.24.0.2",
"cdr",,"01:00:00","A","10.10.55.43",
"cdr-integration",,"01:00:00","A","10.10.55.44",
"cdr-integration-stage",,"01:00:00","A","10.10.141.141",
"cdr-stage",,"01:00:00","A","10.10.141.141",
"cdr2",,"01:00:00","A","10.10.141.130",
"CM0DV",,"01:00:00","CNAME",,"srvaitchdv01.alkaloidad.local."
"CM0DVA",,"01:00:00","CNAME",,"srvaitchdv02.alkaloidad.local."
"CM1DV",,"01:00:00","CNAME",,"srvaitchdv12.alkaloidad.local."
"CM42DV",,"01:00:00","CNAME",,"srvaitchdv42.alkaloidad.local."
"CM4DV",,"01:00:00","CNAME",,"srvaitchdv41.alkaloidad.local."
"CM52DV",,"01:00:00","CNAME",,"srvaitchdv52.alkaloidad.local."
"CM53DV",,"01:00:00","CNAME",,"srvaitchdv53.alkaloidad.local."
"CM54DV",,"01:00:00","CNAME",,"srvaitchdv54.alkaloidad.local."
"CM5DV",,"01:00:00","CNAME",,"srvaitchdv51.alkaloidad.local."
"cmag-acc-1",,"01:00:00","A","10.30.4.126",
"cmschessclubalkaloid",,"01:00:00","A","62.162.121.79",
"colour",,"01:00:00","A","10.10.10.2",
"coresw",,"01:00:00","A","10.10.100.100",
"csb-acc-1",,"01:00:00","A","10.30.2.121",
"csb-acc-2",,"01:00:00","A","10.30.2.120",
"csb-ups-1","26.2.2025 20:00:00","00:15:00","A","10.30.2.24",
"dialin",,"01:00:00","A","10.10.50.200",
"doj-acc-0",,"01:00:00","A","172.24.5.2",
"DomainDnsZones","05.3.2025 11:00:00","00:10:00","A","10.15.50.1",
"DomainDnsZones","01.3.2025 14:00:00","00:10:00","A","10.50.23.100",
"DomainDnsZones","01.3.2025 04:00:00","00:10:00","A","10.10.50.2",
"DomainDnsZones","28.2.2025 20:00:00","00:10:00","A","10.10.50.1",
"DomainDnsZones","03.3.2025 17:00:00","00:10:00","A","10.10.50.3",
"DomainDnsZones","02.3.2025 17:00:00","00:10:00","A","10.15.50.11",
"_ldap._tcp.Bugarija._sites.DomainDnsZones","28.2.2025 16:00:00","00:10:00","SRV",,
"_ldap._tcp.Bugarija._sites.DomainDnsZones","27.2.2025 19:00:00","00:10:00","SRV",,
"_ldap._tcp.Bugarija._sites.DomainDnsZones","03.3.2025 18:00:00","00:10:00","SRV",,
"_ldap._tcp.Bugarija._sites.DomainDnsZones","03.3.2025 17:00:00","00:10:00","SRV",,
"_ldap._tcp.Default-First-Site-Name._sites.DomainDnsZones","02.3.2025 19:00:00","00:10:00","SRV",,
"_ldap._tcp.Default-First-Site-Name._sites.DomainDnsZones","03.3.2025 17:00:00","00:10:00","SRV",,
"_ldap._tcp.Default-First-Site-Name._sites.DomainDnsZones","01.3.2025 15:00:00","00:10:00","SRV",,
"_ldap._tcp.Hrvatska._sites.DomainDnsZones","03.3.2025 17:00:00","00:10:00","SRV",,
"_ldap._tcp.Hrvatska._sites.DomainDnsZones","27.2.2025 19:00:00","00:10:00","SRV",,
"_ldap._tcp.Hrvatska._sites.DomainDnsZones","02.3.2025 06:00:00","00:10:00","SRV",,
"_ldap._tcp.Hrvatska._sites.DomainDnsZones","03.3.2025 18:00:00","00:10:00","SRV",,
"_ldap._tcp.Lafoma._sites.DomainDnsZones","02.3.2025 22:00:00","00:10:00","SRV",,
"_ldap._tcp.Rusija._sites.DomainDnsZones","27.2.2025 19:00:00","00:10:00","SRV",,
"_ldap._tcp.Rusija._sites.DomainDnsZones","03.3.2025 18:00:00","00:10:00","SRV",,
"_ldap._tcp.Rusija._sites.DomainDnsZones","28.2.2025 15:00:00","00:10:00","SRV",,
"_ldap._tcp.Rusija._sites.DomainDnsZones","03.3.2025 17:00:00","00:10:00","SRV",,
"_ldap._tcp.SlovenijaLab._sites.DomainDnsZones","03.3.2025 18:00:00","00:10:00","SRV",,
"_ldap._tcp.SlovenijaLab._sites.DomainDnsZones","01.3.2025 23:00:00","00:10:00","SRV",,
"_ldap._tcp.SlovenijaLab._sites.DomainDnsZones","03.3.2025 17:00:00","00:10:00","SRV",,
"_ldap._tcp.SlovenijaLab._sites.DomainDnsZones","27.2.2025 19:00:00","00:10:00","SRV",,
"_ldap._tcp.SlovenijaOffice._sites.DomainDnsZones","03.3.2025 18:00:00","00:10:00","SRV",,
"_ldap._tcp.SlovenijaOffice._sites.DomainDnsZones","03.3.2025 17:00:00","00:10:00","SRV",,
"_ldap._tcp.SlovenijaOffice._sites.DomainDnsZones","01.3.2025 23:00:00","00:10:00","SRV",,
"_ldap._tcp.SlovenijaOffice._sites.DomainDnsZones","27.2.2025 19:00:00","00:10:00","SRV",,
"_ldap._tcp.Srbija._sites.DomainDnsZones","27.2.2025 19:00:00","00:10:00","SRV",,
"_ldap._tcp.Srbija._sites.DomainDnsZones","03.3.2025 17:00:00","00:10:00","SRV",,
"_ldap._tcp.Srbija._sites.DomainDnsZones","04.3.2025 00:00:00","00:10:00","SRV",,
"_ldap._tcp.Srbija._sites.DomainDnsZones","03.3.2025 18:00:00","00:10:00","SRV",,
"_ldap._tcp.STRUMICA._sites.DomainDnsZones","02.3.2025 17:00:00","00:10:00","SRV",,
"_ldap._tcp.STRUMICA._sites.DomainDnsZones","01.3.2025 17:00:00","00:10:00","SRV",,
"_ldap._tcp.DomainDnsZones","02.3.2025 22:00:00","00:10:00","SRV",,
"_ldap._tcp.DomainDnsZones","02.3.2025 19:00:00","00:10:00","SRV",,
"_ldap._tcp.DomainDnsZones","01.3.2025 17:00:00","00:10:00","SRV",,
"_ldap._tcp.DomainDnsZones","02.3.2025 17:00:00","00:10:00","SRV",,
"_ldap._tcp.DomainDnsZones","03.3.2025 17:00:00","00:10:00","SRV",,
"_ldap._tcp.DomainDnsZones","01.3.2025 15:00:00","00:10:00","SRV",,
"eerv",,"01:00:00","A","10.10.50.75",
"EVServer",,"01:00:00","CNAME",,"srvaitvault.alkaloidad.local."
"EVSITE",,"01:00:00","CNAME",,"evserver.alkaloidad.local."
"FETTE2090I-4","26.2.2025 19:00:00","00:20:00","A","10.10.9.16",
"Fette240275","26.2.2025 13:00:00","00:20:00","A","10.10.160.120",
"FETTE3090I-1","04.3.2025 06:00:00","00:20:00","A","10.10.9.7",
"files-mes-dev",,"01:00:00","A","10.10.144.11",
"files-mes-prd",,"01:00:00","A","10.10.144.4",
"files-mes-tst",,"01:00:00","A","10.10.144.8",
"FKM130-18042","05.3.2025 08:00:00","00:20:00","A","10.10.133.20",
"FKM300-18043","04.3.2025 11:00:00","00:20:00","A","10.10.133.29",
"FKM3000-18044","04.3.2025 11:00:00","00:20:00","A","10.10.133.39",
"flowui-mes-dev",,"01:00:00","A","10.10.144.11",
"flowui-mes-prd",,"01:00:00","A","10.10.144.4",
"flowui-mes-tst",,"01:00:00","A","10.10.144.8",
"flux-mes-dev",,"01:00:00","A","10.10.144.11",
"flux-mes-prd",,"01:00:00","A","10.10.144.4",
"flux-mes-tst",,"01:00:00","A","10.10.144.8",
