CURRENT_LOGIN_USER                                                                                                                                                                                                                                              ;COMPUTER_NAME                                                   ;OPERATION_SYSTEM                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ;SERVICE_PACK                                                    ;IP_ADDR1                          ;MAC_ADDR1        ;IP_ADDR2                          ;MAC_ADDR2        ;BIOS_VERSION                                                                                                                    ;BIOS_SERIALNUMBER                                                                                                               ;MEMORY              ;DISK_TOTAL          
sdonev                                                                                                                                                                                                                                                          ;PCANF0120                                                       ;Windows 10 Enterprise Edition                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ;19045                                                           ;0xA9FEAE06                        ;8C-04-BA-9B-C4-4F;0x0A0A283F                        ;04-33-C2-17-D1-03;DELL   - 1072009 1.27.0                                                                                                         ;29Y0133                                                                                                                         ;          8361205760;        208357806080
ncvetkovski                                                                                                                                                                                                                                                     ;8vg6wc2-BRISI                                                   ;Windows 7 Enterprise Edition                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ;Service Pack 1                                                  ;0x0A0A801B                        ;64-00-6A-30-8D-F1;0xFE80000000000000D9063DB86CCAFF50;64-00-6A-30-8D-F1;DELL   - 1072009 BIOS Date: 12/05/17 05:02:33 Ver: 1.8.1                                                                        ;8VG6WC2                                                                                                                         ;          8468742144;        349816483840
gmarkin                                                                                                                                                                                                                                                         ;srvaitrdmasdt                                                   ;Windows Server 2016 Standard Edition                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ;14393                                                           ;0x0A0A4E09                        ;00-50-56-B3-CF-A9;0xFD6CC5C213C27777000000000A0A4E09;00-50-56-B3-CF-A9;INTEL  - 6040000 VMW71.00V.21100432.B64.2301110304                                                                              ;VMware-56 4d 91 d4 bf b0 05 97-8a 13 10 81 de 13 92 a1                                                                          ;          8588890112;        106778587136
dcvetanovski                                                                                                                                                                                                                                                    ;srvaitlbsldb                                                    ;Windows Server 2019 Standard Edition                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ;17763                                                           ;0x0A0A3F06                        ;00-50-56-B3-07-98;0xFE80000000000000C6F38CF03BC9E12E;00-50-56-B3-07-98;INTEL  - 6040000 VMW71.00V.24224532.B64.2408191458                                                                              ;VMware-42 33 1a 20 f4 ef 0b a7-90 e0 3a e6 9b 99 61 f0                                                                          ;         34358697984;        106727206912
vpenchov                                                                                                                                                                                                                                                        ;KKFPC10                                                         ;Windows 7 Enterprise Edition                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ;Service Pack 1                                                  ;0x0A0A80C1                        ;48-4D-7E-DF-CF-73;0xFE8000000000000039F81340128571C0;48-4D-7E-DF-CF-73;DELL   - 1072009 BIOS Date: 12/08/21 16:01:24 Ver: 1.21.0                                                                       ;17BY3J2                                                                                                                         ;          8468398080;        349816483840
opetkov                                                                                                                                                                                                                                                         ;srvaitspsql                                                     ;Windows Server 2019 Standard Edition                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ;17763                                                           ;0x0A0A3716                        ;00-50-56-B3-01-02;0xFE80000000000000B700B380FEF557A7;00-50-56-B3-01-02;INTEL  - 6040000 VMW71.00V.21100432.B64.2301110304                                                                              ;VMware-42 33 43 30 1d 5b ca 8b-d6 34 2b 73 ef cd da 4e                                                                          ;         34358702080;         85253419008
eboskovic                                                                                                                                                                                                                                                       ;PCBPRO0003                                                      ;Windows 10 Enterprise Edition                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ;17763                                                           ;0x0A1E002D                        ;90-B1-1C-88-53-A7;0xFE80000000000000A4CB5ABDBC5D1EB4;90-B1-1C-88-53-A7;DELL   - 1072009 A29                                                                                                            ;BR0SJ5J                                                                                                                         ;          4176068608;         97617178624
vboceski                                                                                                                                                                                                                                                        ;srvaitdmstst01                                                  ;Windows Server 2016 Standard Edition                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ;14393                                                           ;0x0A0A2609                        ;00-50-56-B3-28-E0;NULL                              ;NULL             ;INTEL  - 6040000 VMW71.00V.21100432.B64.2301110304                                                                              ;VMware-42 33 3d f8 ab 11 89 b7-f7 ad 1c b3 87 81 db 89                                                                          ;         25768759296;        106778587136
mstrezovska                                                                                                                                                                                                                                                     ;srvaitrdch03                                                    ;Windows Server 2012 R2 Standard Edition                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ;NULL                                                            ;0x0A0A230F                        ;00-50-56-b3-97-40;NULL                              ;NULL             ;INTEL  - 6040000 PhoenixBIOS 4.0 Release 6.0                                                                                    ;VMware-56 4d 87 fb a1 41 85 1a-2d 55 09 f5 41 48 2b 41                                                                          ;         68718870528;        214378213376
dcvetanovski                                                                                                                                                                                                                                                    ;srvaitsccmcb                                                    ;Windows Server 2016 Standard Edition                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ;14393                                                           ;0x0A0A3270                        ;00-50-56-B3-AD-AC;0xFE80000000000000018EA46495D1A659;00-50-56-B3-AD-AC;INTEL  - 6040000 VMW71.00V.21100432.B64.2301110304                                                                              ;VMware-42 33 f6 86 90 8a df ab-9e ee 84 aa c8 00 80 d6                                                                          ;         25768759296;        428901134336
dcvetanovski                                                                                                                                                                                                                                                    ;SRVSLVLABHYPV                                                   ;Windows Server 2016 Standard Edition                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ;14393                                                           ;0xA9FE5F78                        ;0A-94-EF-75-86-8D;0x0A320201                        ;08-94-EF-75-91-7C;LENOVO - 100 -[TEE128O-1.51]-                                                                                                   ;S4ATD791                                                                                                                        ;         68383682560;        214748360704
jtodorcev                                                                                                                                                                                                                                                       ;srvaitraman                                                     ;Windows Server 2016 Standard Edition                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ;14393                                                           ;0x0A0A32C1                        ;00-50-56-B3-9D-CD;0xFE800000000000006823A6756F64F068;00-50-56-B3-9D-CD;INTEL  - 6040000 VMW71.00V.21100432.B64.2301110304                                                                              ;VMware-42 33 ce 18 f1 a3 2e 9b-bd d4 a4 74 e5 e8 4f f2                                                                          ;          8588890112;        106778587136
nboeva                                                                                                                                                                                                                                                          ;KKFPC1                                                          ;Windows 10 Enterprise Edition                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ;17763                                                           ;0x0A0A809B                        ;00-E0-6C-38-40-A1;0xFE80000000000000F16A75942D6A533C;00-E0-6C-38-40-A1;DELL   - 1072009 1.4.5                                                                                                          ;FL6HLG2                                                                                                                         ;          8469266432;        499121123328
dcvetanovski                                                                                                                                                                                                                                                    ;srvaitproject                                                   ;Windows Server 2022 Standard Edition                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ;20348                                                           ;0x0A0A325F                        ;00-50-56-B3-D9-03;0xFE800000000000007BD280CCA7A3BDDD;00-50-56-B3-D9-03;INTEL  - 6040000 VMW71.00V.21100432.B64.2301110304                                                                              ;VMware-42 33 9e 2a 01 87 db 29-37 b6 04 9d 7e 0e 7a 75                                                                          ;         34358702080;        428900085760
intercom                                                                                                                                                                                                                                                        ;SRVAITINTERCOM                                                  ;Windows Server 2016 Standard Edition                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ;14393                                                           ;0x0A0A0932                        ;00-50-56-B3-F6-B1;0x0A0A2465                        ;00-50-56-B3-81-40;INTEL  - 6040000 VMW71.00V.21100432.B64.2301110304                                                                              ;VMware-42 33 c5 a5 52 37 13 31-78 ec a8 4a c9 f5 c3 90                                                                          ;         17178824704;        171203096576
dcvetanovski                                                                                                                                                                                                                                                    ;srvaitweb1                                                      ;Windows Server 2012 R2 Standard Edition                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ;9600                                                            ;0x0A0A32E6                        ;00-50-56-8E-73-83;0x0A0A3233                        ;00-50-56-8E-73-83;INTEL  - 6040000 PhoenixBIOS 4.0 Release 6.0                                                                                    ;VMware-42 0e 20 bf 3c b7 4f 42-82 86 74 a2 23 0c 0c 20                                                                          ;          8589328384;        139216285696
opetkov                                                                                                                                                                                                                                                         ;srvaitam                                                        ;Windows Server 2022 Standard Edition                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ;20348                                                           ;0x0A0A3E04                        ;00-50-56-B3-03-70;0xFE80000000000000368AF7AB39BA3C32;00-50-56-B3-03-70;INTEL  - 6040000 VMW71.00V.21100432.B64.2301110304                                                                              ;VMware-42 33 6e 13 44 1f b5 18-0d b6 e5 3a 0a b1 35 cf                                                                          ;         17178832896;        106778587136
vsayfurova                                                                                                                                                                                                                                                      ;PCRUS368                                                        ;Windows 11 Enterprise Edition                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ;22631                                                           ;0x0A0A501A                        ;NULL             ;0xC0A80147                        ;38-D5-7A-E3-4E-F5;HONOR - 2 1.15                                                                                                                  ;ARURPM3719000527                                                                                                                ;          7879585792;        511157727232
gstefanovski                                                                                                                                                                                                                                                    ;PC001156                                                        ;Windows 11 Enterprise Edition                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ;22631                                                           ;0x0A0A2992                        ;A0-B3-39-58-08-72;0xFE8000000000000029752DD822FA759B;A0-B3-39-58-08-72;DELL   - 2 1.9.0                                                                                                                ;GGTJK24                                                                                                                         ;         16853479424;        418334695424
osergeeva                                                                                                                                                                                                                                                       ;PCRUS180                                                        ;Windows 10 Enterprise Edition                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ;19045                                                           ;0x0A0A5033                        ;NULL             ;0xC0A8006B                        ;D0-C5-D3-59-75-13;HPQOEM - 1 F.11                                                                                                                 ;CND8381PGJ                                                                                                                      ;          3929292800;        126855753728
Bondarevskaya                                                                                                                                                                                                                                                   ;pcrus392                                                        ;Windows 11 Enterprise Edition                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ;22631                                                           ;0xC0A8006F                        ;38-D5-7A-E6-B4-D5;0xFE80000000000000AC2C74582B0885BD;38-D5-7A-E6-B4-D5;HONOR - 2 1.15                                                                                                                  ;A64LPM4226000404                                                                                                                ;         16469520384;        511168212992
alkaoee                                                                                                                                                                                                                                                         ;PCANF0112                                                       ;Windows 10 Enterprise Edition                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ;19045                                                           ;0xC0A80105                        ;8C-04-BA-9B-FE-23;0x0A0A2824                        ;04-33-C2-44-F8-FE;DELL   - 1072009 1.3.1                                                                                                          ;G7Y0133                                                                                                                         ;          8361205760;        208567074816
jiljazi                                                                                                                                                                                                                                                         ;PCAUZ3101                                                       ;Windows 10 Enterprise Edition                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ;19045                                                           ;0x0A1E119C                        ;04-33-C2-44-F6-D8;0xFE800000000000000E10F46C720CEAEE;04-33-C2-44-F6-D8;DELL   - 1072009 1.27.0                                                                                                         ;87Y0133                                                                                                                         ;          8361205760;        208357871616
spadmin                                                                                                                                                                                                                                                         ;srvaitspapp1                                                    ;Windows Server 2019 Standard Edition                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ;17763                                                           ;0x0A0A3714                        ;00-50-56-B3-91-4E;0xFE800000000000000FEE0D6A2D529383;00-50-56-B3-91-4E;INTEL  - 6040000 VMW71.00V.21100432.B64.2301110304                                                                              ;VMware-42 33 ce 3e 2a bb 7b 7c-ad 00 3a 23 30 91 d9 ce                                                                          ;         25768767488;        192626552832
epanteleeva                                                                                                                                                                                                                                                     ;PCRUS372                                                        ;Windows 11 Enterprise Edition                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ;22631                                                           ;0x0A320639                        ;60-7D-09-01-19-AF;0xA9FEBA03                        ;38-D5-7A-E3-4E-45;HONOR - 2 1.14                                                                                                                  ;ARURPM3719000490                                                                                                                ;          7879585792;        511284604928
silievska                                                                                                                                                                                                                                                       ;PC000498                                                        ;Windows 11 Enterprise Edition                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ;22631                                                           ;0x0A0A28BD                        ;18-1D-EA-39-04-22;0x0A0A1039                        ;B8-85-84-A5-D1-88;DELL   - 1072009 1.27.0                                                                                                         ;6L6YFS2                                                                                                                         ;          8376057856;        177970409472
oampov                                                                                                                                                                                                                                                          ;IPCAKKF2002                                                     ;Windows 10 Enterprise Edition                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ;15063                                                           ;0xC0A80A01                        ;00-0A-F7-A1-D2-D1;0x0A0A238F                        ;48-4D-7E-BA-DC-2C;DELL   - 1072009 1.7.1                                                                                                          ;HZB8DK2                                                                                                                         ;          8472072192;        999217426432
mdenkic                                                                                                                                                                                                                                                         ;PCAUZ9032                                                       ;Windows 11 Enterprise Edition                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ;22631                                                           ;0x0A0A8C0A                        ;E4-54-E8-8B-65-59;0xFE80000000000000A1CFFD392A910CD6;E4-54-E8-8B-65-59;DELL   - 1072009 2.0.2                                                                                                          ;DKDPJ13                                                                                                                         ;         34017091584;        510064017408
ichernykh                                                                                                                                                                                                                                                       ;PCRUS420                                                        ;Windows 11 Enterprise Edition                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ;22631                                                           ;0xC0A80069                        ;38-D5-7A-E3-F9-3D;0xFE800000000000007A23A218A1FA9A6C;38-D5-7A-E3-F9-3D;HONOR - 2 1.15                                                                                                                  ;AUWRPM4226001427                                                                                                                ;         16469520384;        511168212992
tradonic                                                                                                                                                                                                                                                        ;PCLFLEX2008                                                     ;Windows 10 Enterprise Edition                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ;17763                                                           ;0x0A1E0133                        ;18-66-DA-1D-4B-45;0xFE80000000000000282B292DDD1C8D1B;18-66-DA-1D-4B-45;DELL   - 1072009 1.16.1                                                                                                         ;5YSTGD2                                                                                                                         ;          8472342528;         97617178624
eteslya                                                                                                                                                                                                                                                         ;PCRUS436                                                        ;Windows 11 Enterprise Edition                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ;22631                                                           ;0x0A320645                        ;00-E0-4C-68-04-09;0xFE800000000000000D4AAAA83B9A7BAF;00-E0-4C-68-04-09;HUAWEI - 2 1.23                                                                                                                 ;2VRBB24622805476                                                                                                                ;         16890716160;        511168212992
ogavrikova                                                                                                                                                                                                                                                      ;PCRUS314                                                        ;Windows 10 Enterprise Edition                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ;19045                                                           ;0xC0A80068                        ;00-45-E2-D6-00-BF;0xFE8000000000000099D5900A857BCCBD;00-45-E2-D6-00-BF;LENOVO - 3 GLCN46WW                                                                                                             ;PF3YP3KZ                                                                                                                        ;          6297489408;        255368294400
scsmaction25                                                                                                                                                                                                                                                    ;srvaitscsmdw                                                    ;Windows Server 2022 Standard Edition                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ;26100                                                           ;0x0A0A3E08                        ;00-50-56-B3-CC-CC;0xFE800000000000008E1B8F2BBB98DC6B;00-50-56-B3-CC-CC;INTEL  - 6040000 VMW71.00V.21100432.B64.2301110304                                                                              ;VMware-42 33 10 dc 7a 21 5b 12-b3 a1 b7 55 77 91 6e b5                                                                          ;         17178845184;        160936488960
dbacvarovski                                                                                                                                                                                                                                                    ;KKFC2D6RG2                                                      ;Windows 10 Enterprise Edition                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ;17763                                                           ;0x0A0A80AB                        ;18-66-DA-30-A2-4B;0xFE8000000000000065B5EA7D32B1EDFE;18-66-DA-30-A2-4B;DELL   - 1072009 1.4.5                                                                                                          ;CZD6RG2                                                                                                                         ;          8469274624;        499121123328
scsmaction25                                                                                                                                                                                                                                                    ;srvaitscsmms                                                    ;Windows Server 2022 Standard Edition                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ;26100                                                           ;0x0A0A3E07                        ;00-50-56-B3-12-59;0xFE80000000000000C0EFC895931CC7D3;00-50-56-B3-12-59;INTEL  - 6040000 VMW71.00V.21100432.B64.2301110304                                                                              ;VMware-42 33 cc 33 da d0 4b db-42 a5 01 49 19 13 e0 41                                                                          ;         17178845184;        160936488960
